PTNUM Month ChangeDistance AlterID prxsk sepds sfhvn secbs
7117 0 NA 4 6 6 2 3
7117 6 1 4 6 6 3 3
7117 9 -2 4 0 0 0 0
7117 12 -2 4 NA NA NA NA
7118 0 NA 2 2 2 2 4
7118 3 0 2 NA NA NA NA
7118 6 0 2 2 2 2 4
7118 9 0 2 2 2 2 4
7120 6 0 31 NA NA NA NA
7120 9 0 31 NA NA NA NA
7120 12 0 31 NA NA NA NA
7120 6 0 31 NA NA NA NA
7120 9 0 31 NA NA NA NA
7120 12 0 31 NA NA NA NA
7120 6 0 31 NA NA NA NA
7120 9 0 31 NA NA NA NA
7120 12 0 31 NA NA NA NA
7120 9 0 32 3 3 2 3
7120 12 0 32 NA NA NA NA
7122 0 NA 24 3 3 3 3
7122 3 9 24 NA NA NA NA
7122 6 -1 24 0 0 0 0
7122 9 -1 24 3 3 3 3
7122 12 -1 24 3 3 3 3
7122 0 NA 8 6 6 0 0
7122 3 -2 8 6 6 6 3
7122 6 -2 8 0 0 0 0
7122 9 -2 8 NA NA NA NA
7122 12 0 8 NA NA NA NA
7122 0 NA 2 5 3 3 3
7122 3 -1 2 1 1 0 0
7122 6 0 2 1 1 0 0
7122 9 0 2 1 1 0 0
7122 12 0 2 NA NA NA NA
7122 0 NA 3 3 3 3 4
7122 3 1 3 3 3 3 4
7122 6 1 3 5 5 5 5
7122 9 1 3 6 6 6 6
7122 12 0 3 NA NA NA NA
7122 0 NA 4 2 3 0 0
7122 3 -2 4 0 0 0 0
7122 6 0 4 0 0 0 0
7122 9 -1 4 3 3 3 3
7122 12 0 4 NA NA NA NA
7122 0 NA 8 6 6 0 0
7122 3 -2 8 6 6 6 3
7122 6 -2 8 0 0 0 0
7122 9 -2 8 NA NA NA NA
7122 12 0 8 NA NA NA NA
7122 0 NA 9 6 6 3 3
7122 3 0 9 6 6 3 3
7122 6 0 9 6 6 3 3
7122 9 0 9 6 6 3 3
7122 12 0 9 NA NA NA NA
7122 0 NA 10 6 6 3 3
7122 3 0 10 6 6 3 3
7122 6 0 10 6 6 3 3
7122 9 0 10 6 6 3 3
7122 12 0 10 NA NA NA NA
7122 0 NA 11 6 6 4 4
7122 3 0 11 6 6 4 4
7122 6 0 11 6 6 4 4
7122 9 0 11 6 6 4 4
7122 12 0 11 NA NA NA NA
7122 0 NA 12 2 3 3 3
7122 3 0 12 2 3 3 3
7122 6 0 12 2 3 3 3
7122 9 0 12 2 3 3 3
7122 12 0 12 NA NA NA NA
7122 0 NA 13 3 3 3 3
7122 3 -1 13 3 3 3 3
7122 6 0 13 3 3 3 3
7122 9 0 13 3 3 3 3
7122 12 0 13 NA NA NA NA
7122 0 NA 14 3 3 0 0
7122 3 -1 14 3 3 3 3
7122 6 0 14 3 3 3 3
7122 9 -1 14 3 3 3 3
7122 12 0 14 NA NA NA NA
7122 0 NA 17 3 3 3 3
7122 3 1 17 6 3 3 3
7122 6 0 17 6 3 3 3
7122 9 0 17 6 3 3 3
7122 12 0 17 NA NA NA NA
7122 0 NA 18 2 3 3 3
7122 3 0 18 2 3 3 3
7122 6 0 18 2 3 3 3
7122 9 0 18 2 3 3 3
7122 12 0 18 NA NA NA NA
7122 0 NA 20 3 3 3 3
7122 3 0 20 3 3 3 3
7122 6 0 20 3 3 3 3
7122 9 0 20 3 3 3 3
7122 12 0 20 NA NA NA NA
7122 0 NA 21 3 3 3 3
7122 3 0 21 3 3 3 3
7122 6 0 21 3 3 3 3
7122 9 1 21 6 6 6 6
7122 12 0 21 NA NA NA NA
7122 0 NA 25 5 3 3 3
7122 3 0 25 5 3 3 3
7122 6 0 25 5 3 3 3
7122 9 0 25 5 3 3 3
7122 12 0 25 NA NA NA NA
7122 0 NA 26 3 3 3 3
7122 3 0 26 3 3 3 3
7122 6 0 26 3 3 3 3
7122 9 0 26 3 3 3 3
7122 12 0 26 NA NA NA NA
7122 0 NA 27 6 3 6 2
7122 3 0 27 6 3 6 2
7122 6 0 27 6 3 6 2
7122 9 0 27 6 3 6 2
7122 12 0 27 NA NA NA NA
7122 0 NA 28 3 3 3 5
7122 3 1 28 4 4 4 3
7122 6 1 28 3 3 3 1
7122 9 -1 28 3 3 3 3
7122 12 0 28 NA NA NA NA
7122 0 NA 30 3 3 3 3
7122 3 0 30 3 3 3 3
7122 6 0 30 3 3 3 3
7122 9 0 30 3 3 3 3
7122 12 0 30 NA NA NA NA
7124 0 NA 5 1 0 1 2
7124 3 -1 5 NA NA NA NA
7124 6 0 5 NA NA NA NA
7124 9 0 5 NA NA NA NA
7124 12 0 5 NA NA NA NA
7124 0 NA 13 1 0 0 4
7124 3 -1 13 NA NA NA NA
7124 6 -1 13 2 3 2 2
7124 9 0 13 2 3 2 2
7124 12 0 13 2 3 2 2
7124 0 NA 15 0 0 0 0
7124 3 -2 15 NA NA NA NA
7124 6 0 15 NA NA NA NA
7124 9 -2 15 NA NA NA NA
7124 12 -1 15 NA NA NA NA
7124 0 NA 5 1 0 1 2
7124 3 -1 5 NA NA NA NA
7124 6 0 5 NA NA NA NA
7124 9 0 5 NA NA NA NA
7124 12 0 5 NA NA NA NA
7124 0 NA 15 0 0 0 0
7124 3 -2 15 NA NA NA NA
7124 6 0 15 NA NA NA NA
7124 9 -2 15 NA NA NA NA
7124 12 -1 15 NA NA NA NA
7124 0 NA 29 0 0 0 0
7124 3 1 29 6 3 1 1
7124 6 1 29 NA NA NA NA
7124 9 1 29 5 4 4 4
7124 0 NA 5 1 0 1 2
7124 3 -1 5 NA NA NA NA
7124 6 0 5 NA NA NA NA
7124 9 0 5 NA NA NA NA
7124 12 0 5 NA NA NA NA
7124 0 NA 15 0 0 0 0
7124 3 -2 15 NA NA NA NA
7124 6 0 15 NA NA NA NA
7124 9 -2 15 NA NA NA NA
7124 12 -1 15 NA NA NA NA
7124 0 NA 5 1 0 1 2
7124 3 -1 5 NA NA NA NA
7124 6 0 5 NA NA NA NA
7124 9 0 5 NA NA NA NA
7124 12 0 5 NA NA NA NA
7124 0 NA 15 0 0 0 0
7124 3 -2 15 NA NA NA NA
7124 6 0 15 NA NA NA NA
7124 9 -2 15 NA NA NA NA
7124 12 -1 15 NA NA NA NA
7124 0 NA 16 3 6 3 3
7124 3 -1 16 2 2 2 3
7124 6 0 16 2 2 2 3
7124 9 -1 16 2 2 2 2
7124 12 -1 16 NA NA NA NA
7124 0 NA 17 0 0 0 0
7124 3 -1 17 0 0 0 0
7124 6 0 17 0 0 0 0
7124 9 -1 17 0 0 0 0
7124 12 -1 17 NA NA NA NA
7125 0 NA 9 0 0 0 0
7125 3 0 9 0 0 0 0
7125 6 -2 9 1 0 0 0
7125 9 -2 9 1 1 0 0
7125 12 -2 9 NA NA NA NA
7125 0 NA 13 0 0 0 0
7125 3 0 13 0 0 0 0
7125 6 -2 13 0 0 0 0
7125 9 -2 13 1 1 0 0
7125 12 -2 13 NA NA NA NA
7125 9 NA 33 4 4 2 2
7125 12 -1 33 NA NA NA NA
7129 0 NA 14 3 3 3 3
7129 3 0 14 3 3 3 3
