PTNUM Month ChangeDistance AlterID prxsk sepds sfhvn secbs
7152 6 0 27 2 2 3 3
7152 9 -1 27 NA NA NA NA
7152 12 -1 27 NA NA NA NA
7152 0 NA 29 1 2 3 3
7152 3 0 29 1 2 3 3
7152 6 0 29 1 2 3 3
7152 9 -1 29 NA NA NA NA
7152 12 0 29 NA NA NA NA
7152 0 NA 30 3 2 2 2
7152 3 0 30 3 2 2 2
7152 6 0 30 3 2 2 2
7152 9 -1 30 NA NA NA NA
7152 12 -1 30 NA NA NA NA
7152 0 NA 27 2 2 3 3
7152 3 0 27 2 2 3 3
7152 6 0 27 2 2 3 3
7152 9 -1 27 NA NA NA NA
7152 12 -1 27 NA NA NA NA
7152 0 NA 29 1 2 3 3
7152 3 0 29 1 2 3 3
7152 6 0 29 1 2 3 3
7152 9 -1 29 NA NA NA NA
7152 12 0 29 NA NA NA NA
7152 0 NA 30 3 2 2 2
7152 3 0 30 3 2 2 2
7152 6 0 30 3 2 2 2
7152 9 -1 30 NA NA NA NA
7152 12 -1 30 NA NA NA NA
7154 0 NA 24 0 0 0 3
7154 0 NA 24 0 0 0 0
7154 3 -2 24 0 0 0 0
7154 6 -2 24 NA NA NA NA
7154 9 0 24 NA NA NA NA
7154 12 0 24 NA NA NA NA
7154 0 NA 30 0 0 0 3
7154 3 0 30 0 0 0 3
7154 6 1 30 NA NA NA NA
7154 9 0 30 NA NA NA NA
7154 12 0 30 NA NA NA NA
7154 0 NA 24 0 0 0 3
7154 0 NA 24 0 0 0 0
7154 3 -2 24 0 0 0 0
7154 6 -2 24 NA NA NA NA
7154 9 0 24 NA NA NA NA
7154 12 0 24 NA NA NA NA
7154 0 NA 30 0 0 0 3
7154 3 0 30 0 0 0 3
7154 6 1 30 NA NA NA NA
7154 9 0 30 NA NA NA NA
7154 12 0 30 NA NA NA NA
7154 0 NA 24 0 0 0 3
7154 0 NA 24 0 0 0 0
7154 3 -2 24 0 0 0 0
7154 6 -2 24 NA NA NA NA
7154 9 0 24 NA NA NA NA
7154 12 0 24 NA NA NA NA
7154 0 NA 30 0 0 0 3
7154 3 0 30 0 0 0 3
7154 6 1 30 NA NA NA NA
7154 9 0 30 NA NA NA NA
7154 12 0 30 NA NA NA NA
7156 0 NA 3 3 3 3 3
7156 3 -2 3 0 0 0 0
7156 6 -2 3 NA NA NA NA
7156 9 -2 3 0 0 0 0
7156 12 -2 3 0 0 0 0
7158 0 NA 13 5 5 5 6
7158 3 -1 13 NA NA NA NA
7158 6 1 13 6 6 3 6
7158 9 -1 13 5 5 3 5
7158 12 -1 13 3 3 3 3
7158 0 NA 14 6 6 5 5
7158 3 -1 14 NA NA NA NA
7158 6 1 14 6 6 4 5
7158 9 -1 14 4 4 4 4
7158 12 -1 14 3 5 3 5
7158 0 NA 15 5 5 5 5
7158 3 -1 15 NA NA NA NA
7158 6 1 15 6 6 4 5
7158 9 -1 15 4 4 4 4
7158 12 -1 15 3 5 3 5
7158 0 NA 17 3 1 0 0
7158 3 -2 17 NA NA NA NA
7158 6 -2 17 0 0 0 0
7158 9 -1 17 3 3 3 3
7158 12 -1 17 0 3 0 0
7158 0 NA 27 6 4 4 4
7158 3 -1 27 NA NA NA NA
7158 6 -1 27 6 4 3 4
7158 9 0 27 6 4 3 4
7158 12 0 27 6 4 3 4
7159 0 NA 3 5 1 4 4
7159 3 -2 3 0 0 0 4
7159 6 -2 3 NA NA NA NA
7159 9 -2 3 2 0 0 0
7159 12 -2 3 0 0 0 4
7159 0 NA 14 5 5 4 4
7159 3 0 14 5 5 4 4
7159 6 1 14 NA NA NA NA
7159 9 1 14 4 1 2 4
7159 12 -1 14 5 1 1 4
7159 0 NA 15 0 0 0 0
7159 3 -2 15 0 0 0 0
7159 6 -2 15 NA NA NA NA
7159 9 -2 15 0 0 0 0
7159 12 -1 15 0 0 0 0
7162 0 NA 4 5 6 5 6
7162 3 -1 4 NA NA NA NA
7162 6 -1 4 2 2 2 3
7162 9 0 4 2 2 2 3
7162 12 0 4 2 2 2 3
7162 0 NA 29 6 6 4 6
7162 3 1 29 NA NA NA NA
7162 6 1 29 6 6 5 6
7162 9 0 29 6 6 5 6
7162 12 0 29 6 6 5 6
7162 0 NA 30 6 6 3 5
7162 3 -2 30 0 0 0 0
7162 6 -1 30 NA NA NA NA
7162 9 0 30 NA NA NA NA
7162 12 0 30 NA NA NA NA
7162 0 NA 30 6 6 3 5
7162 3 -2 30 0 0 0 0
7162 6 -1 30 NA NA NA NA
7162 9 0 30 NA NA NA NA
7162 12 0 30 NA NA NA NA
7162 0 NA 30 6 6 3 5
7162 3 -2 30 0 0 0 0
7162 6 -1 30 NA NA NA NA
7162 9 0 30 NA NA NA NA
7162 12 0 30 NA NA NA NA
7164 0 NA 3 5 4 2 5
7164 3 0 3 5 4 2 5
7164 9 -1 3 NA NA NA NA
7164 12 1 3 5 5 5 4
7164 0 NA 22 4 3 3 3
7164 3 -1 22 2 2 2 2
7164 9 -1 22 NA NA NA NA
7164 12 0 22 NA NA NA NA
7164 0 NA 23 4 3 4 4
7164 3 -1 23 0 0 2 4
7164 9 -1 23 NA NA NA NA
7164 12 -1 23 NA NA NA NA
7164 0 NA 24 3 3 3 4
7164 3 -1 24 0 0 0 2
7164 9 -1 24 NA NA NA NA
7164 12 -1 24 NA NA NA NA
7164 0 NA 25 3 3 3 3
7164 3 0 25 3 3 3 3
7164 9 -1 25 NA NA NA NA
7164 12 0 25 NA NA NA NA
7164 0 NA 26 4 3 3 4
7164 3 0 26 4 3 3 4
7164 9 -1 26 NA NA NA NA
7164 12 0 26 NA NA NA NA
7164 0 NA 27 3 3 3 3
7164 3 1 27 5 4 2 6
7164 9 -1 27 NA NA NA NA
7164 12 0 27 NA NA NA NA
7164 0 NA 28 3 3 3 3
7164 3 0 28 3 3 3 3
7164 9 -1 28 NA NA NA NA
7164 12 0 28 NA NA NA NA
7164 0 NA 29 3 3 3 4
7164 3 0 29 3 3 3 4
7164 9 -1 29 NA NA NA NA
7164 12 0 29 NA NA NA NA
7164 0 NA 30 3 3 3 3
7164 3 0 30 3 3 3 3
7164 9 -1 30 NA NA NA NA
7164 12 0 30 NA NA NA NA
7164 0 NA 22 4 3 3 3
7164 3 -1 22 2 2 2 2
7164 9 -1 22 NA NA NA NA
7164 12 0 22 NA NA NA NA
7164 0 NA 23 4 3 4 4
7164 3 -1 23 0 0 2 4
7164 9 -1 23 NA NA NA NA
7164 12 -1 23 NA NA NA NA
7164 0 NA 24 3 3 3 4
7164 3 -1 24 0 0 0 2
7164 9 -1 24 NA NA NA NA
7164 12 -1 24 NA NA NA NA
7164 0 NA 25 3 3 3 3
7164 3 0 25 3 3 3 3
7164 9 -1 25 NA NA NA NA
7164 12 0 25 NA NA NA NA
7164 0 NA 26 4 3 3 4
7164 3 0 26 4 3 3 4
7164 9 -1 26 NA NA NA NA
7164 12 0 26 NA NA NA NA
7164 0 NA 27 3 3 3 3
7164 3 1 27 5 4 2 6
7164 9 -1 27 NA NA NA NA
7164 12 0 27 NA NA NA NA
7164 0 NA 28 3 3 3 3
7164 3 0 28 3 3 3 3
7164 9 -1 28 NA NA NA NA
7164 12 0 28 NA NA NA NA
7164 0 NA 29 3 3 3 4
7164 3 0 29 3 3 3 4
7164 9 -1 29 NA NA NA NA
7164 12 0 29 NA NA NA NA
7164 0 NA 30 3 3 3 3
7164 3 0 30 3 3 3 3
7164 9 -1 30 NA NA NA NA
7164 12 0 30 NA NA NA NA
7164 9 NA 35 NA NA NA NA
7164 12 0 35 NA NA NA NA
7168 0 NA 3 6 6 0 0
7168 3 1 3 NA NA NA NA
7168 6 0 3 NA NA NA NA
7168 9 0 3 NA NA NA NA
7168 12 0 3 NA NA NA NA
7168 0 NA 3 6 6 0 0
7168 3 1 3 NA NA NA NA
7168 6 0 3 NA NA NA NA
7168 9 0 3 NA NA NA NA
7168 12 0 3 NA NA NA NA
7168 0 NA 3 6 6 0 0
7168 3 1 3 NA NA NA NA
7168 6 0 3 NA NA NA NA
7168 9 0 3 NA NA NA NA
7168 12 0 3 NA NA NA NA
7168 0 NA 3 6 6 0 0
7168 3 1 3 NA NA NA NA
7168 6 0 3 NA NA NA NA
7168 9 0 3 NA NA NA NA
7168 12 0 3 NA NA NA NA
7169 0 NA 11 3 3 0 5
7169 3 1 11 NA NA NA NA
7169 6 0 11 NA NA NA NA
7169 9 0 11 NA NA NA NA
7169 12 -1 11 NA NA NA NA
7169 0 NA 13 5 2 1 3
7169 3 1 13 NA NA NA NA
7169 6 0 13 NA NA NA NA
7169 9 0 13 NA NA NA NA
7169 12 -1 13 NA NA NA NA
7169 0 NA 11 3 3 0 5
7169 3 1 11 NA NA NA NA
7169 6 0 11 NA NA NA NA
7169 9 0 11 NA NA NA NA
7169 12 -1 11 NA NA NA NA
7169 0 NA 13 5 2 1 3
7169 3 1 13 NA NA NA NA
7169 6 0 13 NA NA NA NA
7169 9 0 13 NA NA NA NA
7169 12 -1 13 NA NA NA NA
7169 0 NA 11 3 3 0 5
7169 3 1 11 NA NA NA NA
7169 6 0 11 NA NA NA NA
7169 9 0 11 NA NA NA NA
7169 12 -1 11 NA NA NA NA
7169 0 NA 13 5 2 1 3
7169 3 1 13 NA NA NA NA
7169 6 0 13 NA NA NA NA
7169 9 0 13 NA NA NA NA
7169 12 -1 13 NA NA NA NA
7169 0 NA 1 0 0 0 0
7169 3 1 1 6 5 6 6
7169 6 0 1 6 5 6 6
7169 9 0 1 6 5 6 6
7169 12 1 1 NA NA NA NA
7169 0 NA 7 2 1 1 0
7169 3 0 7 2 1 1 0
7169 6 0 7 2 1 1 0
7169 9 -1 7 1 3 4 4
7169 12 -2 7 NA NA NA NA
7169 0 NA 9 0 1 1 5
7169 3 -1 9 0 1 0 0
7169 6 -2 9 0 1 0 0
7169 9 -1 9 5 2 3 3
7169 12 -1 9 NA NA NA NA
7169 0 NA 11 3 3 0 5
7169 3 1 11 NA NA NA NA
7169 6 0 11 NA NA NA NA
7169 9 0 11 NA NA NA NA
7169 12 -1 11 NA NA NA NA
7169 0 NA 12 1 1 1 3
7169 3 -1 12 0 0 0 1
7169 6 0 12 0 0 0 1
7169 9 0 12 0 0 0 1
7169 12 -1 12 NA NA NA NA
7169 0 NA 13 5 2 1 3
7169 3 1 13 NA NA NA NA
7169 6 0 13 NA NA NA NA
7169 9 0 13 NA NA NA NA
7169 12 -1 13 NA NA NA NA
7169 0 NA 26 4 2 2 3
7169 3 0 26 4 2 2 3
7169 6 0 26 4 2 2 3
7169 9 0 26 4 2 2 3
7169 12 -1 26 NA NA NA NA
7169 0 NA 30 0 0 0 0
7169 3 0 30 0 0 0 0
7169 6 0 30 0 0 0 0
7169 9 0 30 0 0 0 0
7169 12 -1 30 NA NA NA NA
